# Langmuir probe raw measurement — 2026-06-07 16:12:16
# Points: 1000
voltage_V,current_A,current_mA
-50,-6.00952819e-03,-6.00953
-49.8999,-6.14199630e-03,-6.142
-49.7998,-5.96095077e-03,-5.96095
-49.6997,-5.93993741e-03,-5.93994
-49.5996,-6.22709539e-03,-6.2271
-49.4995,-6.16020782e-03,-6.16021
-49.3994,-6.01520382e-03,-6.0152
-49.2993,-6.05761012e-03,-6.05761
-49.1992,-6.02566397e-03,-6.02566
-49.0991,-6.10728624e-03,-6.10729
-48.999,-5.93204004e-03,-5.93204
-48.8989,-5.94019864e-03,-5.9402
-48.7988,-6.00937275e-03,-6.00937
-48.6987,-5.90124969e-03,-5.90125
-48.5986,-5.96522087e-03,-5.96522
-48.4985,-6.09589905e-03,-6.0959
-48.3984,-5.97109271e-03,-5.97109
-48.2983,-6.10185404e-03,-6.10185
-48.1982,-5.91611875e-03,-5.91612
-48.0981,-6.00695436e-03,-6.00695
-47.998,-6.01844600e-03,-6.01845
-47.8979,-6.06605070e-03,-6.06605
-47.7978,-5.87370161e-03,-5.8737
-47.6977,-6.00940668e-03,-6.00941
-47.5976,-6.03478450e-03,-6.03478
-47.4975,-6.02516307e-03,-6.02516
-47.3974,-5.93471678e-03,-5.93472
-47.2973,-5.94940129e-03,-5.9494
-47.1972,-5.94267042e-03,-5.94267
-47.0971,-5.93885957e-03,-5.93886
-46.997,-5.76577490e-03,-5.76577
-46.8969,-6.01857915e-03,-6.01858
-46.7968,-6.02715991e-03,-6.02716
-46.6967,-6.05531090e-03,-6.05531
-46.5966,-5.91033367e-03,-5.91033
-46.4965,-5.85703237e-03,-5.85703
-46.3964,-5.97932233e-03,-5.97932
-46.2963,-6.04994122e-03,-6.04994
-46.1962,-6.04637168e-03,-6.04637
-46.0961,-5.89686226e-03,-5.89686
-45.996,-5.88559411e-03,-5.88559
-45.8959,-5.90360209e-03,-5.9036
-45.7958,-6.02246647e-03,-6.02247
-45.6957,-5.93069735e-03,-5.9307
-45.5956,-5.94024288e-03,-5.94024
-45.4955,-5.92804059e-03,-5.92804
-45.3954,-5.86076455e-03,-5.86076
-45.2953,-5.92354586e-03,-5.92355
-45.1952,-5.87601204e-03,-5.87601
-45.0951,-5.93514347e-03,-5.93514
-44.995,-5.91098741e-03,-5.91099
-44.8949,-5.87476851e-03,-5.87477
-44.7948,-6.08161089e-03,-6.08161
-44.6947,-5.96586041e-03,-5.96586
-44.5946,-5.97892853e-03,-5.97893
-44.4945,-5.99377703e-03,-5.99378
-44.3944,-5.95540145e-03,-5.9554
-44.2943,-5.77639106e-03,-5.77639
-44.1942,-6.01046628e-03,-6.01047
-44.0941,-5.82505331e-03,-5.82505
-43.994,-6.08816609e-03,-6.08817
-43.8939,-5.95136559e-03,-5.95137
-43.7938,-5.89959975e-03,-5.8996
-43.6937,-5.85525080e-03,-5.85525
-43.5936,-5.84074834e-03,-5.84075
-43.4935,-5.83053424e-03,-5.83053
-43.3934,-5.94273944e-03,-5.94274
-43.2933,-5.95210008e-03,-5.9521
-43.1932,-5.81806528e-03,-5.81807
-43.0931,-5.92099126e-03,-5.92099
-42.993,-6.02742743e-03,-6.02743
-42.8929,-6.01118548e-03,-6.01119
-42.7928,-5.98779995e-03,-5.9878
-42.6927,-5.84413660e-03,-5.84414
-42.5926,-5.87760806e-03,-5.87761
-42.4925,-5.82080006e-03,-5.8208
-42.3924,-5.93057181e-03,-5.93057
-42.2923,-5.86999053e-03,-5.86999
-42.1922,-5.82128341e-03,-5.82128
-42.0921,-5.91277506e-03,-5.91278
-41.992,-5.83416083e-03,-5.83416
-41.8919,-5.94402889e-03,-5.94403
-41.7918,-5.91213963e-03,-5.91214
-41.6917,-5.91200598e-03,-5.91201
-41.5916,-5.99141410e-03,-5.99141
-41.4915,-5.82113082e-03,-5.82113
-41.3914,-5.91476625e-03,-5.91477
-41.2913,-5.86457454e-03,-5.86457
-41.1912,-5.81574722e-03,-5.81575
-41.0911,-5.81716670e-03,-5.81717
-40.991,-5.79327923e-03,-5.79328
-40.8909,-5.86766422e-03,-5.86766
-40.7908,-5.89814343e-03,-5.89814
-40.6907,-5.86178334e-03,-5.86178
-40.5906,-6.02054288e-03,-6.02054
-40.4905,-5.99451860e-03,-5.99452
-40.3904,-5.98007523e-03,-5.98008
-40.2903,-5.94552787e-03,-5.94553
-40.1902,-5.80382367e-03,-5.80382
-40.0901,-5.93234690e-03,-5.93235
-39.99,-5.87761316e-03,-5.87761
-39.8899,-5.70787197e-03,-5.70787
-39.7898,-5.87141909e-03,-5.87142
-39.6897,-5.76003903e-03,-5.76004
-39.5896,-5.92515025e-03,-5.92515
-39.4895,-5.85033012e-03,-5.85033
-39.3894,-5.92278645e-03,-5.92279
-39.2893,-5.85968543e-03,-5.85969
-39.1892,-5.73974918e-03,-5.73975
-39.0891,-5.99450991e-03,-5.99451
-38.989,-5.77633337e-03,-5.77633
-38.8889,-5.79400003e-03,-5.794
-38.7888,-5.87518645e-03,-5.87519
-38.6887,-5.95837509e-03,-5.95838
-38.5886,-5.80455420e-03,-5.80455
-38.4885,-5.86271426e-03,-5.86271
-38.3884,-5.78449520e-03,-5.7845
-38.2883,-5.80357544e-03,-5.80358
-38.1882,-5.64358059e-03,-5.64358
-38.0881,-5.82569186e-03,-5.82569
